SNR;RAJ2000;DEJ2000;MajDiam;MinDiam;u_MinDiam;type;l_S(1GHz);S(1GHz);u_S(1GHz);Sp-Index;u_Sp-Index;Names;Simbad;recno
G205.5+00.5;06 39 00;+06 30;220.0;     ; ;S ; ; 140.0; ; 0.40;  ;Monoceros Nebula          ;Simbad;     179
G206.7+05.9;07 01 00;+08 10;210.0;     ; ;S ; ;      ;?;     ;? ;                          ;Simbad;     180
G206.9+02.3;06 48 40;+06 26; 60.0; 40.0; ;S?; ;   6.0; ; 0.50;  ;PKS 0646+06               ;Simbad;     181
G213.0-00.6;06 50 50;-00 30;160.0;140.0;?;S ; ;  21.0; ; 0.40;  ;                          ;Simbad;     182
G249.5+24.5;09 34 00;-17 00;260.0;     ; ;S ; ;  27.0; ; 0.70;  ;Hoinga                    ;Simbad;     183
G260.4-03.4;08 22 10;-43 00; 60.0; 50.0; ;S ; ; 130.0; ; 0.50;  ;Puppis A, MSH 08-44       ;Simbad;     184
G261.9+05.5;09 04 20;-38 42; 40.0; 30.0; ;S ; ;  10.0;?; 0.40;? ;                          ;Simbad;     185
G263.9-03.3;08 34 00;-45 50;255.0;     ; ;C ; ;1750.0; ;     ;v ;Vela (XYZ)                ;Simbad;     186
G266.2-01.2;08 52 00;-46 20;120.0;     ; ;S ; ;  50.0;?; 0.30;? ;RX J0852.0-4622           ;Simbad;     187
G272.2-03.2;09 06 50;-52 07; 15.0;     ;?;S?; ;   0.4; ; 0.60;  ;                          ;Simbad;     188
G279.0+01.1;09 57 40;-53 15; 95.0;     ; ;S ; ;  30.0;?; 0.60;? ;                          ;Simbad;     189
G284.3-01.8;10 18 15;-59 00; 24.0;     ;?;S ; ;  11.0;?; 0.30;? ;MSH 10-53                 ;Simbad;     190
G286.5-01.2;10 35 40;-59 42; 26.0;  6.0; ;S?; ;   1.4;?;     ;? ;                          ;Simbad;     191
G288.8-06.3;10 30 20;-65 15;108.0; 96.0; ;S ; ;  11.0; ; 0.41;  ;                          ;Simbad;     192
G289.7-00.3;11 01 15;-60 18; 18.0; 14.0; ;S ; ;   6.2; ; 0.20;? ;                          ;Simbad;     193
G290.1-00.8;11 03 05;-60 56; 19.0; 14.0; ;S ; ;  42.0; ; 0.40;  ;MSH 11-61A                ;Simbad;     194
G291.0-00.1;11 11 54;-60 38; 15.0; 13.0; ;C ; ;  16.0; ; 0.29;  ;(MSH 11-62)               ;Simbad;     195
G292.0+01.8;11 24 36;-59 16; 12.0;  8.0; ;C ; ;  15.0; ; 0.40;  ;MSH 11-54                 ;Simbad;     196
G292.2-00.5;11 19 20;-61 28; 20.0; 15.0; ;S ; ;   7.0; ; 0.50;  ;                          ;Simbad;     197
G293.8+00.6;11 35 00;-60 54; 20.0;     ; ;C ; ;   5.0;?; 0.60;? ;                          ;Simbad;     198
G294.1-00.0;11 36 10;-61 38; 40.0;     ; ;S ;>;   2.0;?;     ;? ;                          ;Simbad;     199
G296.1-00.5;11 51 10;-62 34; 37.0; 25.0; ;S ; ;   8.0;?; 0.60;? ;                          ;Simbad;     200
G296.5+10.0;12 09 40;-52 25; 90.0; 65.0; ;S ; ;  48.0; ; 0.50;  ;PKS 1209-51/52            ;Simbad;     201
G296.7-00.9;11 55 30;-63 08; 15.0;  8.0; ;S ; ;   3.0; ; 0.50;  ;                          ;Simbad;     202
G296.8-00.3;11 58 30;-62 35; 20.0; 14.0; ;S ; ;   9.0; ; 0.60;  ;1156-62                   ;Simbad;     203
G298.5-00.3;12 12 40;-62 52;  5.0;     ;?;? ; ;   5.0;?; 0.40;? ;                          ;Simbad;     204
G298.6-00.0;12 13 41;-62 37; 12.0;  9.0; ;S ; ;   5.0;?; 0.30;  ;                          ;Simbad;     205
G299.2-02.9;12 15 13;-65 30; 18.0; 11.0; ;S ; ;   0.5;?;     ;? ;                          ;Simbad;     206
G299.6-00.5;12 21 45;-63 09; 13.0;     ; ;S ; ;   1.0;?;     ;? ;                          ;Simbad;     207
G301.4-01.0;12 37 55;-63 49; 37.0; 23.0; ;S ; ;   2.1;?;     ;? ;                          ;Simbad;     208
G302.3+00.7;12 45 55;-62 08; 17.0;     ; ;S ; ;   5.0;?; 0.40;? ;                          ;Simbad;     209
G304.6+00.1;13 05 59;-62 42;  8.0;     ; ;S ; ;  14.0; ; 0.50;  ;Kes 17                    ;Simbad;     210
G306.3-00.9;13 21 50;-63 34;  4.0;     ; ;S?; ;   0.2;?; 0.50;? ;                          ;Simbad;     211
G308.1-00.7;13 37 37;-63 04; 13.0;     ; ;S ; ;   1.2;?;     ;? ;                          ;Simbad;     212
G308.4-01.4;13 41 30;-63 44; 12.0;  6.0;?;S?; ;   0.4;?;     ;? ;                          ;Simbad;     213
G308.8-00.1;13 42 30;-62 23; 30.0; 20.0;?;C?; ;  15.0;?; 0.40;? ;                          ;Simbad;     214
